id,score
106,1.619424
104,2.482994
102,0.2632508
98,1.322788
96,0.3085133
94,0.3476402
92,0.3364112
90,2.167099
88,1.005495
86,1.385451
84,0.3056606
82,1.889234
80,0.9962284
78,0.5529162
76,0.2011191
74,0.4417757
72,0.7472216
70,0.2632045
68,0.2274474
66,0.261863
62,0.6100181
60,0.3302005
58,53.72525
56,2.118301
54,0.2175028
50,0.2480401
48,0.2083412
46,0.3112234
44,8.676941
42,109.1105
40,1.623855
38,0.313004
36,0.378594
34,111.881
32,2315.234
30,2.044447
28,0.310623
26,1.16847
24,0.2303921
22,0.2736715
20,0.2685155
18,1.078488
16,50.63297
14,2.567351
10,0.2035839
8,0.8490573
6,0.8778598
4,0.3316571
2,0.2464216
0,0.164787
